tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,7,Forhjulsdrift,15.04.1996,5,Bensin,Nissan Maxima,4,Norge,RH31741,Bruktbil til salgs,Personbil,38569,,382814,3632 Uvdal,1996,,,Sedan,Inklusiv,37000,1 425 kg,Automat,Mercedes 040 Basic Black,Svart,1569,98683674,,193,3 l,Sort
,1,Firehjulsdrift,,5,Diesel,Volvo XC 90,5,Norge,DN98668,Bruktbil til salgs,Personbil,76569,,260000,1444 Drøbak,2004,239 g/km,,SUV/Offroad,Ikke inklusiv,75000,2 044 kg,Automat,,Svart,1569,94281638,,163,"2,4 l",svart
,2,Firehjulsdrift,09.08.2007,5,Diesel,Mercedes-Benz M-Klasse,5,Norge,SD38369,Bruktbil til salgs,Personbil,323588,,130000,4318 Sandnes,2007,254 g/km,,SUV/Offroad,Inklusiv,320000,2 110 kg,Automat,,Svart,3588,78369336,,224,3 l,Sort
,5,Forhjulsdrift,25.04.2008,5,Bensin,Audi A4,,Norge,,Bruktbil til salgs,Personbil,11069,,237873,2022 Gjerdrum,1998,,,Stasjonsvogn,Inklusiv,9500,1 320 kg,Automat,,Grå,1569,98682579,,150,"1,8 l",
,7,Forhjulsdrift,08.06.2007,5,Diesel,Volkswagen Touran,5,Norge,KH50194,Bruktbil til salgs,Personbil,24569,,285000,1621 Gressvik,2005,159 g/km,,Flerbruksbil,Inklusiv,23000,1 498 kg,Manuell,,Blå,1569,98684152,,105,"1,9 l",
,2,Firehjulsdrift,21.02.2003,5,Bensin,Mazda Tribute,5,Norge,ST74192,Bruktbil til salgs,Personbil,31569,,144000,5781 Lofthus,2003,231 g/km,,SUV/Offroad,Ikke inklusiv,30000,1 420 kg,Manuell,,Svart,1569,98683297,,124,2 l,
,2,Firehjulsdrift,08.03.2011,3,Diesel,Mercedes-Benz Vito,5,Norge,VH29993,Bruktbil til salgs,Varebil,206255,,121000,7024 Trondheim,2011,237 g/km,,Kasse,Inklusiv,205000,1 855 kg,Automat,,Sølv,1255,98684654,,163,"2,1 l",
,3,Firehjulsdrift,20.12.2005,5,Bensin,Subaru Forester,5,Norge,NV54587,Bruktbil til salgs,Personbil,36569,,196000,6600 Sunndalsøra,2003,,,Kombi 5-dørs,Ikke inklusiv,35000,1 360 kg,Manuell,Svart/sølv,Svart,1569,98684036,,125,2 l,
,,Firehjulsdrift,15.12.2006,5,Bensin,Volvo V70,,Norge,JD44570,Bruktbil til salgs,Personbil,96569,,252053,4360 Varhaug,1999,,,Stasjonsvogn,Ikke inklusiv,95000,1 658 kg,Automat,,Grønn,1569,98684048,,250,"2,3 l",
,,Firehjulsdrift,06.05.1997,5,Bensin,Audi A4,5,Norge,UE90237,Bruktbil til salgs,Personbil,10569,,229084,6819 Førde,1997,,,Stasjonsvogn,Inklusiv,9000,1 360 kg,Manuell,,Svart,1569,98684403,,125,"1,8 l",
,2,Forhjulsdrift,21.08.2012,5,Diesel,Ford Mondeo,5,Norge,DN96222,Bruktbil til salgs,Personbil,158660,,80050,1405 Langhus,2012,125 g/km,,Stasjonsvogn,Inklusiv,155000,1 430 kg,Manuell,Lunar sky metallic,Brun,3660,98682000,,116,"1,6 l",Sort skinn el.sete 8-veis m/minne
,2,Firehjulsdrift,30.03.2000,5,Bensin,Subaru Forester,5,Norge,AX74920,Bruktbil til salgs,Personbil,15569,,238000,1383 Asker,2000,218 g/km,,Stasjonsvogn,Inklusiv,14000,1 360 kg,Automat,,Blå,1569,98681943,,125,2 l,
,,Forhjulsdrift,,5,Elektrisitet,Kia Soul,5,Norge,,Bruktbil til salgs,Personbil,235000,,1430,2072 Dal,2017,,,Kombi 5-dørs,Inklusiv,229000,,Automat,Metalic,Grå,6000,98684557,,110,,GRÅ SKINN
