tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,,Forhjulsdrift,13.08.2003,5,Bensin,Citroen C5,5,Norge,SD19269,Bruktbil til salgs,Personbil,49000,563 l,107600,4313 Sandnes,2003,,,Stasjonsvogn,Ikke inklusiv,47431,1 371 kg,Manuell,Blå Metallic,Blå,1569,98367225,,116,"1,8 l",Grått Stoff
,,Forhjulsdrift,24.04.2008,4,Bensin,MINI Cooper S,4,Norge,,Bruktbil til salgs,Personbil,129000,410 l,75000,7714 Steinkjer,2007,,,Stasjonsvogn,Ikke inklusiv,125412,1 205 kg,Manuell,,Blå,3588,98367203,,174,"1,6 l",
,1,Firehjulsdrift,22.06.2015,5,Bensin,BMW 3-serie,5,Norge,,Bruktbil til salgs,Personbil,489000,500 l,27000,7714 Steinkjer,2015,,,Stasjonsvogn,Ikke inklusiv,482936,1 575 kg,Automat,MINERALGRAU METALLIC (B39),Grå,6064,98367211,,184,,STOFF HEXAGON ALCANTARA/ANTHRAZIT
,1,Forhjulsdrift,12.04.2013,5,Diesel,Opel Mokka,5,Norge,,Bruktbil til salgs,Personbil,248000,429 l,27200,7714 Steinkjer,2013,,,SUV/Offroad,Ikke inklusiv,244340,1 357 kg,Automat,,Grå,3660,98367219,,131,,Stoff
,,Firehjulsdrift,29.12.2009,5,Diesel,Subaru Outback,5,Norge,,Bruktbil til salgs,Personbil,169000,385 l,160000,7714 Steinkjer,2009,,,Stasjonsvogn,Ikke inklusiv,165340,1 570 kg,Manuell,,Sølv,3660,98367223,,150,,Skinn
,4,Forhjulsdrift,22.05.1997,3,Diesel,Volkswagen Transporter,5,Norge,BP13143,Bruktbil til salgs,Varebil,20546,,361000,1406 Ski,1998,,,Kasse,Inklusiv,19500,1 770 kg,Manuell,,Hvit,1046,97621258,,102,"2,5 l",
,,Forhjulsdrift,06.11.2006,5,Diesel,BMW 1-serie,5,Norge,PP87709,Bruktbil til salgs,Personbil,65000,,173000,4626 Kristiansand,2007,,,,Ikke inklusiv,,1 310 kg,Manuell,,Grå,Inklusiv,98367136,,122,2 l,
,2,Firehjulsdrift,14.09.2011,5,Diesel,Audi A7,5,Norge,FT36690,Bruktbil til salgs,Personbil,399000,,88000,4314 Sandnes,2012,,,Sedan,Inklusiv,395340,1 785 kg,Automat,,Rød,3660,98367119,,204,3 l,Sort
,,Forhjulsdrift,15.12.2009,5,Bensin,Skoda Roomster,,Norge,NF40347,Bruktbil til salgs,Personbil,76614,,94820,3720 Skien,2010,155 g/km,,Flerbruksbil,Inklusiv,74000,,Manuell,,Beige,2614,98366419,,69,"1,2 l",
,,Firehjulsdrift,22.10.2010,5,Diesel,Ford Kuga,5,Norge,DN51557,Bruktbil til salgs,Personbil,159000,517 l,152058,2815 Gjøvik,2010,,,SUV/Offroad,Inklusiv,155340,1 538 kg,Manuell,,Hvit,3660,98367140,,136,2 l,
,,Forhjulsdrift,23.12.2014,5,Diesel,Volvo V40 Cross Country,5,Norge,XR61422,Bruktbil til salgs,Personbil,259000,335 l,21000,7800 Namsos,2015,,,Kombi 5-dørs,Ikke inklusiv,252936,1 312 kg,Manuell,,Rød,6064,98367095,,114,"1,6 l",
,1,Forhjulsdrift,08.06.2012,5,Diesel,Volvo V60,5,Norge,,Bruktbil til salgs,Personbil,179800,575 l,96433,6022 Ålesund,2012,,,Stasjonsvogn,Inklusiv,176140,1 483 kg,Automat,Sort safir metallic,Svart,3660,98367103,,114,"1,6 l",Mørk grå skinn
,,Forhjulsdrift,01.05.2017,5,Elektrisitet,Kia Soul,5,Norge,,Bruktbil til salgs,Personbil,259000,,20,5257 Kokstad,2018,,,Kombi 5-dørs,Ikke inklusiv,,,Automat,Titanium Silver,Sølv,Fritatt,98367030,,110,,Grå fullskinn
,4,Forhjulsdrift,,5,Diesel,Volkswagen Passat,,Norge,Pd16327,Bruktbil til salgs,Personbil,21565,,270000,2850 Lena,2004,,,Stasjonsvogn,Inklusiv,20000,,Manuell,,Svart,1565,98366477,,,,
,3,Forhjulsdrift,27.09.2000,5,Bensin,Toyota Yaris,3,Norge,DJ96324,Bruktbil til salgs,Personbil,26569,,187000,1275 Oslo,2001,160 g/km,,Kombi 3-dørs,Inklusiv,25000,915 kg,Automat,,Blå,1569,98365576,,86,"1,3 l",
,,Forhjulsdrift,27.05.2013,5,Diesel,Ford Focus,5,Norge,,Bruktbil til salgs,Personbil,154000,363 l,73475,1400 Ski,2013,,,Kombi 5-dørs,Ikke inklusiv,150340,1 269 kg,Manuell,Frozen White,Hvit,3660,98367065,,116,"1,6 l",
,,Forhjulsdrift,10.05.2013,5,Diesel,Opel Mokka,5,Norge,,Bruktbil til salgs,Personbil,189000,429 l,104000,7714 Steinkjer,2013,,,SUV/Offroad,Ikke inklusiv,185340,1 354 kg,Manuell,,Grå,3660,98366966,,131,"1,7 l",
,1,Forhjulsdrift,27.05.2014,5,Bensin,Hyundai i10,5,Norge,,Bruktbil til salgs,Personbil,105000,,53000,7044 Trondheim,2014,,,Annet,Ikke inklusiv,,933 kg,Manuell,Gray,Grå,Ikke oppgitt,98366984,,67,,
,1,Forhjulsdrift,01.04.2016,5,Bensin,Kia Sportage,5,Norge,,Bruktbil til salgs,Personbil,255000,,20500,2020 Skedsmokorset,2015,149 g/km,,SUV/Offroad,Inklusiv,248936,1 305 kg,Manuell,Black Pearl Metallic,Svart,6064,98365984,,135,"1,6 l",Sort
,4,Forhjulsdrift,18.06.1974,5,Bensin,Volkswagen Passat,,Norge,LS18336,Bruktbil til salgs,Personbil,25000,,78203,3912 Porsgrunn,1974,,,Coupe,Inklusiv,20000,890 kg,Manuell,,Hvit,5000,98317765,,,"1,3 l",
,,Firehjulsdrift,,3,Diesel,Mercedes-Benz Vito,,Norge,SU49458,Bruktbil til salgs,Varebil,124900,,105214,3612 Kongsberg,2007,270 g/km,,Kasse,Ikke inklusiv,123645,,Automat,,Blå,1255,98366880,,150,"2,1 l",
,,Bakhjulsdrift,30.12.2015,3,Diesel,Mercedes-Benz Vito,5,,DP87202,Auksjon,Varebil,215287,,43534,3170 Sem,2016,,,Kasse,Inklusiv,,1 686 kg,Manuell,Hvit,Hvit,1987,98366952,,114,1 598 l,
,1,Forhjulsdrift,30.09.2015,5,Diesel,Peugeot 308,5,Norge,,Bruktbil til salgs,Personbil,275000,525 l,40200,4302 Sandnes,2015,,,Stasjonsvogn,Inklusiv,268936,1 310 kg,Automat,,Svart,6064,98366938,,120,,Delskinn
,,Firehjulsdrift,,5,Elektrisitet+bensin,Mitsubishi Outlander,5,Norge,,Bruktbil til salgs,Personbil,419900,463 l,1,3255 Larvik,2017,,,SUV/Offroad,Ikke inklusiv,,,Automat,Sort,Brun,Fritatt,98366919,,202,2 l,
,,Firehjulsdrift,26.11.2009,5,Diesel,Suzuki SX4,5,Norge,TV78962,Bruktbil til salgs,Personbil,108660,390 l,71000,2686 Lom,2008,,,,Ikke inklusiv,105000,1 325 kg,Manuell,,Blå,3660,98366927,,120,"1,9 l",
,,Forhjulsdrift,01.05.2017,5,Elektrisitet,Kia Soul,5,Norge,,Bruktbil til salgs,Personbil,259000,,20,5257 Kokstad,2018,,,Kombi 5-dørs,Ikke inklusiv,,,Automat,Titanium Silver,Sølv,Fritatt,98366792,,110,,Grå fullskinn
,,Forhjulsdrift,20.12.2007,5,Diesel,Ford Mondeo,5,Norge,ZH23106,Bruktbil til salgs,Personbil,99660,699 l,174818,9513 Alta,2008,,,Stasjonsvogn,Ikke inklusiv,96000,1 501 kg,Manuell,,Rød,3660,98366899,,131,,
,4,Bakhjulsdrift,28.03.2012,4,Bensin,Porsche 911,,Norge,BS42542,Bruktbil til salgs,Personbil,590000,,117500,7045 Trondheim,2005,,,Coupe,Ikke inklusiv,588462,1 420 kg,Manuell,GT Silver,Sølv,1538,83176065,,355,"3,8 l",
,1,Forhjulsdrift,26.05.2014,4,Bensin,Fiat 500,3,Norge,AE41427,Bruktbil til salgs,Personbil,129000,185 l,34000,1711 Sarpsborg,2014,,,Kombi 3-dørs,Ikke inklusiv,125027,930 kg,Manuell,Epic Blue,Blå,3973,98366847,,84,"0,9 l",Brunt skinn/hvitt ratt
,,Firehjulsdrift,08.12.2000,5,Bensin,Subaru Justy,5,Norge,PP36681,Bruktbil til salgs,Personbil,14900,,97355,3403 Lier,2000,,,Kombi 5-dørs,Inklusiv,13331,,Manuell,,Rød,1569,98366221,,68,"1,3 l",
,,Firehjulsdrift,,5,Diesel,Volvo XC 70,,Norge,,Bruktbil til salgs,Personbil,489900,,56124,3612 Kongsberg,2015,,,SUV/Offroad,Ikke inklusiv,483836,,Automat,,Sølv,6064,98366743,,163,,Sort skinn
,,Forhjulsdrift,04.04.2014,5,Diesel,Volkswagen Passat,5,Norge,CF73836,Bruktbil til salgs,Personbil,239000,,95763,2013 Skjetten,2014,,,Stasjonsvogn,Ikke inklusiv,232936,1 526 kg,Automat,DYP SORT PERLMET.,Svart,6064,98366717,,140,2 l,SORT
,1,Firehjulsdrift,23.04.2015,5,Diesel,Volvo XC 60,5,Norge,KB44558,Bruktbil til salgs,Personbil,469000,,72000,3580 Geilo,2015,,4WD,SUV/Offroad,Inklusiv,462936,1 717 kg,Automat,,Svart,6064,96028865,,181,"2,4 l",Sort
,,Forhjulsdrift,03.02.2012,5,Diesel,Volvo V70,5,Norge,,Bruktbil til salgs,Personbil,205000,,121000,2827 Hunndalen,2012,,,Stasjonsvogn,Ikke inklusiv,201340,1 537 kg,Manuell,Sort Safir Metallic 452,Svart,3660,98366650,,114,"1,6 l",Beige skinn
,2,Firehjulsdrift,22.03.2007,6,Diesel,Mercedes-Benz R-Klasse,5,Norge,NF26319,Bruktbil til salgs,Personbil,195000,,265000,1473 Lørenskog,2007,,4-Matic,Stasjonsvogn,Inklusiv,191340,2 215 kg,Automat,,Svart,3660,95396983,,224,3 l,Sort delskinn
,1,Firehjulsdrift,15.09.2005,2,Diesel,Suzuki XL7,5,Norge,PP59783,Bruktbil til salgs,Varebil,79000,,109000,4626 Kristiansand,2005,,,SUV/Offroad,Ikke inklusiv,,1 690 kg,Manuell,,Sølv,Inklusiv,98366482,,109,2 l,
,,Forhjulsdrift,15.12.2009,5,Diesel,Opel Corsa,5,Norge,AY10639,Bruktbil til salgs,Personbil,74900,,80049,1718 Greåker,2010,,,Kombi 5-dørs,Inklusiv,72286,1 160 kg,Manuell,Metallic,Blå,2614,98366466,,75,"1,2 l",Grå
,,Bakhjulsdrift,04.06.2012,5,Bensin,BMW 1-serie,5,Norge,BS45499,Bruktbil til salgs,Personbil,349000,,80000,0950 Oslo,2012,,,Kombi 5-dørs,Inklusiv,345340,1 365 kg,Automat,Estorilblå II Metallic,Blå,3660,98366448,,218,2 l,Sort/Dakota Fullskinn
,,Forhjulsdrift,18.07.2012,5,Diesel,Peugeot 3008,5,Norge,,Bruktbil til salgs,Personbil,149000,432 l,84500,4580 Lyngdal,2012,,,Kombi 5-dørs,Ikke inklusiv,145340,1 421 kg,Manuell,,Svart,3660,98366451,,111,"1,6 l",
,,Bakhjulsdrift,,6,Bensin,Ford,2,Norge,b61427,Bruktbil til salgs,Annet,250000,,123456,1604 Fredrikstad,1961,,,Coupe,Ikke inklusiv,,,Automat,Metallic,Lilla,Fritatt,98366008,,300,6 400 l,Sort og hvit
,1,Firehjulsdrift,13.03.2012,3,Diesel,Volkswagen Transporter,,Norge,HT10509,Bruktbil til salgs,Varebil,209000,,59000,6827 Breim,2012,214 g/km,4-Motion,Kasse,Ikke inklusiv,207745,,Manuell,Hvit,Hvit,1255,98365866,,140,2 l,
,,Forhjulsdrift,04.07.2013,5,Diesel,Volvo V70,5,Norge,BS75262,Bruktbil til salgs,Personbil,269000,575 l,57200,1360 Fornebu,2014,,,Stasjonsvogn,Ikke inklusiv,265340,1 523 kg,Manuell,Sort Safir Metallic,Svart,3660,98366337,,115,"1,6 l",Mørkt skinn
,,Forhjulsdrift,22.04.2014,5,Diesel,Volvo V70,5,Norge,BS90983,Bruktbil til salgs,Personbil,284000,575 l,45300,1360 Fornebu,2014,,,Stasjonsvogn,Ikke inklusiv,277936,1 523 kg,Manuell,Savillegrå metallic,Grå,6064,98366352,,115,"1,6 l",Mørkt delskinn
,4,Bakhjulsdrift,08.02.2007,5,Diesel,Mercedes-Benz E-Klasse,,Norge,DL57173,Bruktbil til salgs,Personbil,81569,,520000,2635 Tretten,2006,,,Stasjonsvogn,Inklusiv,80000,1 805 kg,Automat,,Grå,1569,96981244,,190,3 l,
